"filename", "language", "C++", "Markdown", "Python", "CMake", "YAML", "LaTeX", "JSON", "HTML", "toml", "Shell Script", "PostCSS", "XML", "Properties", "reStructuredText", "JavaScript", "Makefile", "comment", "blank", "total"
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-actuation-equality.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-am-equality.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-com-equality.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-contact-force-equality.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-cop-equality.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-joint-bounds.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-joint-posVelAcc-bounds.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-joint-posture.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-se3-equality.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tasks/task-two-frames-equality.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
